"","","m_true_new"
"603",4.02,0.999550134983801
"604",4.03,0.998988183252999
"605",4.04,0.998202158963467
"606",4.05,0.997192769484011
"607",4.06,0.99596092319703
"608",4.07,0.994507728681037
"609",4.08,0.992834493713007
"610",4.09,0.990942724091473
"611",4.1,0.988834122281401
"612",4.11,0.986510585882097
"613",4.12,0.983974205919484
"614",4.13,0.981227264964328
"615",4.14,0.978272235078077
"616",4.15,0.975111775588169
"617",4.16,0.971748730694821
"618",4.17,0.968186126911438
"619",4.18,0.964427170340956
"620",4.19,0.960475243790567
"621",4.2,0.956333903727419
"622",4.21,0.952006877078038
"623",4.22,0.947498057874341
"624",4.23,0.942811503749276
"625",4.24,0.937951432285224
"626",4.25,0.932922217218455
"627",4.26,0.927728384503069
"628",4.27,0.922374608237936
"629",4.28,0.916865706460327
"630",4.29,0.91120663681
"631",4.3,0.905402492067666
"632",4.31,0.899458495571824
"633",4.32,0.893379996518114
"634",4.33,0.887172465145397
"635",4.34,0.880841487812912
"636",4.35,0.874392761972931
"637",4.36,0.867832091043435
"638",4.37,0.861165379185427
"639",4.38,0.85439862598959
"640",4.39,0.847537921077057
"641",4.4,0.840589438619168
"642",4.41,0.833559431781126
"643",4.42,0.826454227094572
"644",4.43,0.81928021876414
"645",4.44,0.812043862913093
"646",4.45,0.80475167177326
"647",4.46,0.797410207824459
"648",4.47,0.790026077888708
"649",4.48,0.782605927184536
"650",4.49,0.775156433346733
"651",4.5,0.767684300416926
"652",4.51,0.760196252810398
"653",4.52,0.752699029264567
"654",4.53,0.745199376774577
"655",4.54,0.737704044521457
"656",4.55,0.730219777798317
"657",4.56,0.722753311940032
"658",4.57,0.715311366261905
"659",4.58,0.707900638012731
"660",4.59,0.700527796347723
"661",4.6,0.693199476326728
"662",4.61,0.685922272943119
"663",4.62,0.678702735188745
"664",4.63,0.671547360160279
"665",4.64,0.664462587212275
"666",4.65,0.657454792162178
"667",4.66,0.650530281552521
"668",4.67,0.643695286975462
"669",4.68,0.636955959464772
"670",4.69,0.63031836396032
"671",4.7,0.623788473850036
"672",4.71,0.617372165594264
"673",4.72,0.611075213437347
"674",4.73,0.604903284211194
"675",4.74,0.598861932235518
"676",4.75,0.592956594319315
"677",4.76,0.587192584868114
"678",4.77,0.58157509110136
"679",4.78,0.576109168384274
"680",4.79,0.570799735678364
"681",4.8,0.565651571114689
"682",4.81,0.560669307693864
"683",4.82,0.555857429116677
"684",4.83,0.551220265749054
"685",4.84,0.546761990725028
"686",4.85,0.542486616191194
"687",4.86,0.538397989696056
"688",4.87,0.534499790727484
"689",4.88,0.53079552740143
"690",4.89,0.527288533304856
"691",4.9,0.523981964495735
"692",4.91,0.520878796662808
"693",4.92,0.517981822447667
"694",4.93,0.515293648931566
"695",4.94,0.512816695289223
"696",4.95,0.510553190611727
"697",4.96,0.508505171900506
"698",4.97,0.506674482234163
"699",4.98,0.505062769109829
"700",4.99,0.503671482960529
"701",5,0.502501875849889
"702",5.01,0.501555000345361
"703",5.02,0.500831708570988
"704",5.03,0.500332651440547
"705",5.04,0.500058278071768
"706",5.05,0.500008835382165
"707",5.06,0.50018436786682
"708",5.07,0.500584717558346
"709",5.08,0.501209524169042
"710",5.09,0.502058225415134
"711",5.1,0.503130057522784
"712",5.11,0.504424055915442
"713",5.12,0.505939056081897
"714",5.13,0.50767369462426
"715",5.14,0.509626410484925
"716",5.15,0.511795446351424
"717",5.16,0.514178850237881
"718",5.17,0.516774477241674
